거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
73,매수 진입,2026-02-23 10:47:00,L_4651,64521.7,0.004,258.0868,1559.22,0.41,2918.91,0.77,-1895.71,-0.50,7962.4,0.16
74,매도 청산,2026-02-23 21:22:00,L_15764,66016.1,0.004,259.4048,-7244.2,-1.90,0,0.00,-10358.32,-2.71,718.2,0.01
74,매도 진입,2026-02-23 14:05:00,S_14966,64851.2,0.004,259.4048,-7244.2,-1.90,0,0.00,-10358.32,-2.71,718.2,0.01
75,매수 청산,2026-02-24 05:51:30,S_16838,64370.7,0.004,264.0644,-10071.97,-2.59,2540.04,0.65,-12948.35,-3.33,-10692.55,-0.21
75,매수 진입,2026-02-23 21:22:00,L_15764,66016.1,0.004,264.0644,-10071.97,-2.59,2540.04,0.65,-12948.35,-3.33,-10692.55,-0.21
76,매수 청산,2026-02-24 05:51:30,S_16838,64370.7,0.004,262.0972,-7174.81,-1.86,3887.48,1.01,-10051.18,-2.60,-17674.45,-0.35
76,매수 진입,2026-02-23 23:42:00,L_15577,65524.3,0.004,262.0972,-7174.81,-1.86,3887.48,1.01,-10051.18,-2.60,-17674.45,-0.35
77,매수 청산,2026-02-24 05:51:30,S_16838,64370.7,0.004,262.0184,-7058.76,-1.83,4003.53,1.04,-9935.13,-2.57,-24540.36,-0.49
77,매수 진입,2026-02-23 23:42:00,L_15500,65504.6,0.004,262.0184,-7058.76,-1.83,4003.53,1.04,-9935.13,-2.57,-24540.36,-0.49
78,매수 청산,2026-02-24 05:51:30,S_16838,64370.7,0.004,261.2744,-5963.04,-1.55,2119.33,0.55,-8839.42,-2.30,-30311.1,-0.61
78,매수 진입,2026-02-24 01:06:00,L_15225,65318.6,0.004,261.2744,-5963.04,-1.55,2119.33,0.55,-8839.42,-2.30,-30311.1,-0.61
79,매수 청산,2026-02-24 05:51:30,S_16838,64370.7,0.004,260.0632,-4179.26,-1.09,598.76,0.16,-7055.64,-1.84,-34298.96,-0.69
79,매수 진입,2026-02-24 02:14:30,L_15559,65015.8,0.004,260.0632,-4179.26,-1.09,598.76,0.16,-7055.64,-1.84,-34298.96,-0.69
80,매수 청산,2026-02-24 05:51:30,S_16838,64370.7,0.004,258.5048,-1884.15,-0.49,2845,0.75,-4760.52,-1.25,-35992.85,-0.72
80,매수 진입,2026-02-24 02:26:00,L_15003,64626.2,0.004,258.5048,-1884.15,-0.49,2845,0.75,-4760.52,-1.25,-35992.85,-0.72
81,매수 청산,2026-02-24 05:51:30,S_16838,64370.7,0.004,258.268,-1535.41,-0.40,3193.75,0.84,-4411.78,-1.16,-37338.17,-0.75
81,매수 진입,2026-02-24 02:28:00,L_14853,64567,0.004,258.268,-1535.41,-0.40,3193.75,0.84,-4411.78,-1.16,-37338.17,-0.75
82,매수 청산,2026-02-24 05:51:30,S_16838,64370.7,0.004,256.7508,699.03,0.18,5428.18,1.44,-2177.35,-0.58,-36450.18,-0.73
82,매수 진입,2026-02-24 02:51:30,L_15041,64187.7,0.004,256.7508,699.03,0.18,5428.18,1.44,-2177.35,-0.58,-36450.18,-0.73
83,매도 청산,2026-02-24 10:10:00,L_17325,64547.8,0.004,257.4828,-1423.98,-0.38,211.47,0.06,-3892.47,-1.03,-38256.35,-0.77
83,매도 진입,2026-02-24 05:51:30,S_16838,64370.7,0.004,257.4828,-1423.98,-0.38,211.47,0.06,-3892.47,-1.03,-38256.35,-0.77
84,매도 청산,2026-02-24 10:10:00,L_17325,64547.8,0.004,259.224,1141.01,0.30,1331.3,0.35,-1198.08,-0.31,-36924.29,-0.74
84,매도 진입,2026-02-24 09:12:00,S_17274,64806,0.004,259.224,1141.01,0.30,1331.3,0.35,-1198.08,-0.31,-36924.29,-0.74
85,매도 청산,2026-02-24 10:10:00,L_17325,64547.8,0.004,259.364,1347.27,0.35,1537.56,0.40,-991.83,-0.26,-35385.87,-0.71
85,매도 진입,2026-02-24 09:12:30,S_17266,64841,0.004,259.364,1347.27,0.35,1537.56,0.40,-991.83,-0.26,-35385.87,-0.71
86,매수 청산,2026-02-24 19:50:30,S_18417,63322,0.004,258.1912,-7604.28,-2.00,76.21,0.02,-11285.38,-2.96,-43554.35,-0.87
86,매수 진입,2026-02-24 10:10:00,L_17325,64547.8,0.004,258.1912,-7604.28,-2.00,76.21,0.02,-11285.38,-2.96,-43554.35,-0.87
87,매수 청산,2026-02-24 19:50:30,S_18417,63322,0.004,257.4824,-6558.98,-1.73,1121.51,0.30,-10240.09,-2.70,-49923.57,-1.00
87,매수 진입,2026-02-24 10:13:00,L_17312,64370.6,0.004,257.4824,-6558.98,-1.73,1121.51,0.30,-10240.09,-2.70,-49923.57,-1.00
88,매수 청산,2026-02-24 19:50:30,S_18417,63322,0.004,257.3324,-6337.77,-1.67,1342.72,0.35,-10018.88,-2.64,-56071.69,-1.12
88,매수 진입,2026-02-24 10:13:00,L_17078,64333.1,0.004,257.3324,-6337.77,-1.67,1342.72,0.35,-10018.88,-2.64,-56071.69,-1.12
89,매수 청산,2026-02-24 19:50:30,S_18417,63322,0.004,250.7284,3401.39,0.92,4062.69,1.10,-279.71,-0.08,-52485.51,-1.05
89,매수 진입,2026-02-24 14:24:30,L_17898,62682.1,0.004,250.7284,3401.39,0.92,4062.69,1.10,-279.71,-0.08,-52485.51,-1.05
90,매도 청산,2026-02-24 22:32:30,L_18309,62693.8,0.004,253.288,3332.37,0.89,3517.19,0.94,-251.53,-0.07,-49153.14,-0.98
90,매도 진입,2026-02-24 19:50:30,S_18417,63322,0.004,253.288,3332.37,0.89,3517.19,0.94,-251.53,-0.07,-49153.14,-0.98
91,매수 청산,2026-02-24 23:41:30,S_18826,63399.8,0.004,250.7752,3790.85,1.03,3977.75,1.08,-1917.07,-0.52,-45362.29,-0.91
91,매수 진입,2026-02-24 22:32:30,L_18309,62693.8,0.004,250.7752,3790.85,1.03,3977.75,1.08,-1917.07,-0.52,-45362.29,-0.91
92,매도 청산,2026-02-25 13:02:30,L_20355,65167.7,0.004,253.5992,-10737.74,-2.89,1070.71,0.29,-17251.81,-4.64,-57430.86,-1.15
92,매도 진입,2026-02-24 23:41:30,S_18826,63399.8,0.004,253.5992,-10737.74,-2.89,1070.71,0.29,-17251.81,-4.64,-57430.86,-1.15
93,매도 청산,2026-02-25 13:02:30,L_20355,65167.7,0.004,254.7908,-8992.92,-2.41,2353.98,0.63,-15506.99,-4.15,-66236,-1.32
93,매도 진입,2026-02-24 23:52:00,S_18133,63697.7,0.004,254.7908,-8992.92,-2.41,2353.98,0.63,-15506.99,-4.15,-66236,-1.32
94,매도 청산,2026-02-25 13:02:30,L_20355,65167.7,0.004,255.7804,-7543.89,-2.01,216.42,0.06,-14057.96,-3.75,-73591.37,-1.47
94,매도 진입,2026-02-25 08:12:30,S_20062,63945.1,0.004,255.7804,-7543.89,-2.01,216.42,0.06,-14057.96,-3.75,-73591.37,-1.47
95,매도 청산,2026-02-25 13:02:30,L_20355,65167.7,0.004,256.7696,-6094.28,-1.62,397.92,0.11,-12608.35,-3.35,-79497.58,-1.59
95,매도 진입,2026-02-25 09:44:30,S_20161,64192.4,0.004,256.7696,-6094.28,-1.62,397.92,0.11,-12608.35,-3.35,-79497.58,-1.59
96,매도 청산,2026-02-25 13:02:30,L_20355,65167.7,0.004,260.0356,-1311.99,-0.34,0,0.00,-7826.06,-2.05,-80619.09,-1.61
96,매도 진입,2026-02-25 10:11:00,S_17417,65008.9,0.004,260.0356,-1311.99,-0.34,0,0.00,-7826.06,-2.05,-80619.09,-1.61
97,매도 청산,2026-02-25 13:02:30,L_20355,65167.7,0.004,260.5824,-511.32,-0.13,0,0.00,-7025.39,-1.84,-80939.53,-1.62
97,매도 진입,2026-02-25 10:11:30,S_16495,65145.6,0.004,260.5824,-511.32,-0.13,0,0.00,-7025.39,-1.84,-80939.53,-1.62
98,매도 청산,2026-02-25 13:02:30,L_20355,65167.7,0.004,260.7928,-203.24,-0.05,0,0.00,-6717.31,-1.76,-80951.74,-1.62
98,매도 진입,2026-02-25 10:11:30,S_16523,65198.2,0.004,260.7928,-203.24,-0.05,0,0.00,-6717.31,-1.76,-80951.74,-1.62
99,매도 청산,2026-02-25 13:02:30,L_20355,65167.7,0.004,264.9468,5879.33,1.51,6070.27,1.56,-634.75,-0.16,-74878.34,-1.50
99,매도 진입,2026-02-25 10:21:30,S_16349,66236.7,0.004,264.9468,5879.33,1.51,6070.27,1.56,-634.75,-0.16,-74878.34,-1.50
100,매수 청산,2026-02-25 15:55:16,오픈,64866.3,0.004,260.6708,-2147.2,-0.56,2573.22,0.67,-2890.64,-0.76,-77216.49,-1.54
100,매수 진입,2026-02-25 13:02:30,L_20355,65167.7,0.004,260.6708,-2147.2,-0.56,2573.22,0.67,-2890.64,-0.76,-77216.49,-1.54
