거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
41,매도 청산,2026-02-19 03:42,L_12478,66581.9,0.004,271.2676,6913.38,1.72,7110.46,1.77,-3210.47,-0.80,23977.91,0.48
41,매도 진입,2026-02-19 00:37,S_13798,67816.9,0.004,271.2676,6913.38,1.72,7110.46,1.77,-3210.47,-0.80,23977.91,0.48
42,매도 청산,2026-02-19 03:42,L_12478,66581.9,0.004,272.7644,9127.54,2.26,9324.62,2.31,-996.31,-0.25,33307.29,0.67
42,매도 진입,2026-02-19 00:40,S_13593,68191.1,0.004,272.7644,9127.54,2.26,9324.62,2.31,-996.31,-0.25,33307.29,0.67
43,매수 청산,2026-02-19 23:54,S_15233,66598.7,0.004,266.3276,-295.02,-0.07,4006.79,1.01,-6025.64,-1.52,32622.01,0.65
43,매수 진입,2026-02-19 03:42,L_12478,66581.9,0.004,266.3276,-295.02,-0.07,4006.79,1.01,-6025.64,-1.52,32622.01,0.65
44,매수 청산,2026-02-19 23:54,S_15233,66598.7,0.004,263.1644,4400.98,1.13,4598.65,1.18,-1329.64,-0.34,37218.25,0.74
44,매수 진입,2026-02-19 22:49,L_6196,65791.1,0.004,263.1644,4400.98,1.13,4598.65,1.18,-1329.64,-0.34,37218.25,0.74
45,매수 청산,2026-02-19 23:54,S_15233,66598.7,0.004,262.7952,4949.15,1.27,5146.81,1.32,-781.47,-0.20,42362.4,0.85
45,매수 진입,2026-02-19 23:34,L_12637,65698.8,0.004,262.7952,4949.15,1.27,5146.81,1.32,-781.47,-0.20,42362.4,0.85
46,매도 청산,2026-02-20 22:39,L_16049,66612.8,0.004,266.3948,-477.36,-0.12,4181.92,1.06,-10164.53,-2.59,40889.76,0.82
46,매도 진입,2026-02-19 23:54,S_15233,66598.7,0.004,266.3948,-477.36,-0.12,4181.92,1.06,-10164.53,-2.59,40889.76,0.82
47,매도 청산,2026-02-20 22:39,L_16049,66612.8,0.004,268.5448,2692.29,0.68,2888.8,0.73,-6994.88,-1.77,43781.31,0.88
47,매도 진입,2026-02-20 04:07,S_15202,67136.2,0.004,268.5448,2692.29,0.68,2888.8,0.73,-6994.88,-1.77,43781.31,0.88
48,매도 청산,2026-02-20 22:39,L_16049,66612.8,0.004,268.4952,2620.38,0.66,2816.88,0.71,-7066.8,-1.78,46599.71,0.93
48,매도 진입,2026-02-20 09:14,S_15759,67123.8,0.004,268.4952,2620.38,0.66,2816.88,0.71,-7066.8,-1.78,46599.71,0.93
49,매도 청산,2026-02-20 22:39,L_16049,66612.8,0.004,269.0512,3440.07,0.87,3636.57,0.92,-6247.11,-1.57,50238.2,1.00
49,매도 진입,2026-02-20 09:26,S_15117,67262.8,0.004,269.0512,3440.07,0.87,3636.57,0.92,-6247.11,-1.57,50238.2,1.00
50,매도 청산,2026-02-20 22:39,L_16049,66612.8,0.004,270.2704,5237.49,1.31,5434,1.36,-4449.68,-1.12,55675.01,1.11
50,매도 진입,2026-02-20 14:32,S_14142,67567.6,0.004,270.2704,5237.49,1.31,5434,1.36,-4449.68,-1.12,55675.01,1.11
51,매도 청산,2026-02-20 22:39,L_16049,66612.8,0.004,271.522,7082.68,1.77,7279.18,1.82,-2604.5,-0.65,62957.93,1.26
51,매도 진입,2026-02-20 14:35,S_15009,67880.5,0.004,271.522,7082.68,1.77,7279.18,1.82,-2604.5,-0.65,62957.93,1.26
52,매수 청산,2026-02-21 07:33,S_16889,68039.8,0.004,266.4512,8022.07,2.04,8425.75,2.14,-1286.24,-0.33,70783.95,1.42
52,매수 진입,2026-02-20 22:39,L_16049,66612.8,0.004,266.4512,8022.07,2.04,8425.75,2.14,-1286.24,-0.33,70783.95,1.42
53,매수 청산,2026-02-21 07:33,S_16889,68039.8,0.004,265.8512,8907.52,2.27,9311.19,2.37,-400.8,-0.10,79887.52,1.60
53,매수 진입,2026-02-20 22:40,L_15869,66462.8,0.004,265.8512,8907.52,2.27,9311.19,2.37,-400.8,-0.10,79887.52,1.60
54,매도 청산,2026-02-21 12:41,L_17390,67566,0.004,272.1592,2390.1,0.60,2589.02,0.65,-1252.1,-0.31,82277.63,1.65
54,매도 진입,2026-02-21 07:33,S_16889,68039.8,0.004,272.1592,2390.1,0.60,2589.02,0.65,-1252.1,-0.31,82277.63,1.65
55,매수 청산,2026-02-21 18:21,S_17682,68169.9,0.004,270.264,3156.16,0.79,3356.85,0.84,-587.52,-0.15,85433.78,1.71
55,매수 진입,2026-02-21 12:41,L_17390,67566,0.004,270.264,3156.16,0.79,3356.85,0.84,-587.52,-0.15,85433.78,1.71
56,매도 청산,2026-02-22 07:58,L_18062,67808.1,0.004,272.6796,1729.96,0.43,1929.59,0.48,-3238.31,-0.81,86358.22,1.73
56,매도 진입,2026-02-21 18:21,S_17682,68169.9,0.004,272.6796,1729.96,0.43,1929.59,0.48,-3238.31,-0.81,86358.22,1.73
57,매도 청산,2026-02-22 07:58,L_18062,67808.1,0.004,273.3664,2740.42,0.68,2940.05,0.73,-2227.85,-0.55,89299.84,1.79
57,매도 진입,2026-02-21 23:20,S_16563,68341.6,0.004,273.3664,2740.42,0.68,2940.05,0.73,-2227.85,-0.55,89299.84,1.79
58,매도 청산,2026-02-22 07:58,L_18062,67808.1,0.004,273.4268,2829.29,0.70,3028.91,0.75,-2138.98,-0.53,92330.38,1.85
58,매도 진입,2026-02-21 23:20,S_16552,68356.7,0.004,273.4268,2829.29,0.70,3028.91,0.75,-2138.98,-0.53,92330.38,1.85
59,매도 청산,2026-02-22 07:58,L_18062,67808.1,0.004,273.688,3213.58,0.80,3413.21,0.85,-1754.69,-0.44,95745.39,1.91
59,매도 진입,2026-02-21 23:20,S_16519,68422,0.004,273.688,3213.58,0.80,3413.21,0.85,-1754.69,-0.44,95745.39,1.91
60,매도 청산,2026-02-22 07:58,L_18062,67808.1,0.004,273.9772,3639.07,0.90,3838.7,0.95,-1329.2,-0.33,99586.11,1.99
60,매도 진입,2026-02-21 23:21,S_12158,68494.3,0.004,273.9772,3639.07,0.90,3838.7,0.95,-1329.2,-0.33,99586.11,1.99
61,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,271.2324,-16885.65,-4.23,2235.76,0.56,-21255.7,-5.32,80735.16,1.61
61,매수 진입,2026-02-22 07:58,L_18062,67808.1,0.004,271.2324,-16885.65,-4.23,2235.76,0.56,-21255.7,-5.32,80735.16,1.61
62,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,270.9112,-16412.47,-4.11,264.99,0.07,-20782.53,-5.21,81208.34,1.62
62,매수 진입,2026-02-22 22:35,L_19356,67727.8,0.004,270.9112,-16412.47,-4.11,264.99,0.07,-20782.53,-5.21,81208.34,1.62
63,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,270.7936,-16239.28,-4.07,438.07,0.11,-20609.33,-5.17,81381.53,1.63
63,매수 진입,2026-02-22 22:35,L_17807,67698.4,0.004,270.7936,-16239.28,-4.07,438.07,0.11,-20609.33,-5.17,81381.53,1.63
64,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,270.7184,-16128.53,-4.05,548.74,0.14,-20498.58,-5.14,81492.28,1.63
64,매수 진입,2026-02-22 22:35,L_18834,67679.6,0.004,270.7184,-16128.53,-4.05,548.74,0.14,-20498.58,-5.14,81492.28,1.63
65,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,270.6856,-16080.22,-4.03,597.02,0.15,-20450.28,-5.13,81540.59,1.63
65,매수 진입,2026-02-22 22:35,L_17789,67671.4,0.004,270.6856,-16080.22,-4.03,597.02,0.15,-20450.28,-5.13,81540.59,1.63
66,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,269.1292,-13788.19,-3.48,6.23,0.00,-18158.25,-4.58,83832.62,1.68
66,매수 진입,2026-02-23 09:33,L_20035,67282.3,0.004,269.1292,-13788.19,-3.48,6.23,0.00,-18158.25,-4.58,83832.62,1.68
67,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,264.2092,-6542.33,-1.68,2093.62,0.54,-10912.38,-2.80,91078.48,1.82
67,매수 진입,2026-02-23 10:03,L_16193,66052.3,0.004,264.2092,-6542.33,-1.68,2093.62,0.54,-10912.38,-2.80,91078.48,1.82
68,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,263.5844,-5622.16,-1.45,0,0.00,-9992.22,-2.57,91998.65,1.84
68,매수 진입,2026-02-23 10:07,L_15531,65896.1,0.004,263.5844,-5622.16,-1.45,0,0.00,-9992.22,-2.57,91998.65,1.84
69,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,261.3096,-2271.98,-0.59,1190.77,0.31,-6642.04,-1.73,95348.83,1.91
69,매수 진입,2026-02-23 10:09,L_5705,65327.4,0.004,261.3096,-2271.98,-0.59,1190.77,0.31,-6642.04,-1.73,95348.83,1.91
70,매수 청산,2026-02-23 14:42,오픈,65006.7,0.004,258.402,2010.14,0.53,3269.02,0.86,-2359.91,-0.62,99630.95,1.99
70,매수 진입,2026-02-23 10:47,L_5500,64600.5,0.004,258.402,2010.14,0.53,3269.02,0.86,-2359.91,-0.62,99630.95,1.99
