거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
68,매수 진입,2026-02-23 10:01:00,ICE_L_7850,66286.2,0.004099,271.7071338,-8654.19,-2.16,733.44,0.18,-12594.46,-3.15,11600,0.23
69,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.00415,271.68888,-3756.25,-0.94,380.98,0.10,-7745.55,-1.94,8043.71,0.16
69,매수 진입,2026-02-23 10:09:00,ICE_L_4482,65467.2,0.00415,271.68888,-3756.25,-0.94,380.98,0.10,-7745.55,-1.94,8043.71,0.16
70,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004151,271.7236298,-3711.92,-0.93,426.31,0.11,-7702.18,-1.92,4531.78,0.09
70,매수 진입,2026-02-23 10:09:00,ICE_L_4534,65459.8,0.004151,271.7236298,-3711.92,-0.93,426.31,0.11,-7702.18,-1.92,4531.78,0.09
71,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004159,271.7003997,-2913.62,-0.73,1232.59,0.31,-6911.57,-1.73,1818.13,0.04
71,매수 진입,2026-02-23 10:09:00,ICE_L_2207,65328.3,0.004159,271.7003997,-2913.62,-0.73,1232.59,0.31,-6911.57,-1.73,1818.13,0.04
72,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004162,271.6874522,-2608.02,-0.65,1541.18,0.39,-6608.86,-1.65,-589.93,-0.01
72,매수 진입,2026-02-23 10:09:00,ICE_L_7405,65278.1,0.004162,271.6874522,-2608.02,-0.65,1541.18,0.39,-6608.86,-1.65,-589.93,-0.01
73,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004163,271.710684,-2546.73,-0.64,1603.47,0.40,-6548.52,-1.64,-2936.68,-0.06
73,매수 진입,2026-02-23 10:10:00,ICE_L_4543,65268,0.004163,271.710684,-2546.73,-0.64,1603.47,0.40,-6548.52,-1.64,-2936.68,-0.06
74,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004185,271.727865,-470.79,-0.12,2503.77,0.63,-4493.73,-1.12,-3207.48,-0.06
74,매수 진입,2026-02-23 10:24:00,ICE_L_4728,64929,0.004185,271.727865,-470.79,-0.12,2503.77,0.63,-4493.73,-1.12,-3207.48,-0.06
75,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004188,271.7032008,-147.94,-0.04,867.14,0.22,-4173.76,-1.04,-3155.44,-0.06
75,매수 진입,2026-02-23 10:46:30,ICE_L_2255,64876.6,0.004188,271.7032008,-147.94,-0.04,867.14,0.22,-4173.76,-1.04,-3155.44,-0.06
76,매도 청산,2026-02-23 23:37:00,ICE_L_15798,65765.6,0.004185,271.6797375,-5627.09,-1.41,50.15,0.01,-10429.17,-2.61,-9582.5,-0.19
76,매도 진입,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004185,271.6797375,-5627.09,-1.41,50.15,0.01,-10429.17,-2.61,-9582.5,-0.19
77,매도 청산,2026-02-23 23:37:00,ICE_L_15798,65765.6,0.004167,271.7113185,-3837.23,-0.96,0,0.00,-8618.65,-2.15,-13219.75,-0.26
