거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
31,매수 진입,2026-02-17 00:36,ICE_L_10915,67258.5,0.004007,269.5048095,7184.45,1.80,7388.21,1.85,-325.44,-0.08,54672.2,1.09
32,매도 청산,2026-02-17 14:20,ICE_L_11714,68114,0.003932,269.4780472,2051,0.51,2249.32,0.56,-4285.57,-1.07,56523.21,1.13
32,매도 진입,2026-02-17 05:59,ICE_S_11325,68534.6,0.003932,269.4780472,2051,0.51,2249.32,0.56,-4285.57,-1.07,56523.21,1.13
33,매도 청산,2026-02-17 14:20,ICE_L_11714,68114,0.003903,270.0751104,5862.1,1.46,6058.97,1.51,-427.74,-0.11,62585.31,1.25
33,매도 진입,2026-02-17 11:12,ICE_S_11342,69196.8,0.003903,270.0751104,5862.1,1.46,6058.97,1.51,-427.74,-0.11,62585.31,1.25
34,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.003965,270.07201,-2477.1,-0.62,1992.09,0.50,-9290.1,-2.32,59108.32,1.18
34,매수 진입,2026-02-17 14:20,ICE_L_11714,68114,0.003965,270.07201,-2477.1,-0.62,1992.09,0.50,-9290.1,-2.32,59108.32,1.18
35,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004016,270.0494944,2671.69,0.67,2873.2,0.72,-4228.94,-1.06,61979.99,1.24
35,매수 진입,2026-02-17 23:42,ICE_L_12158,67243.4,0.004016,270.0494944,2671.69,0.67,2873.2,0.72,-4228.94,-1.06,61979.99,1.24
36,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004024,270.0607,3457.51,0.86,3659.42,0.91,-3456.87,-0.86,65637.48,1.31
36,매수 진입,2026-02-17 23:42,ICE_L_10765,67112.5,0.004024,270.0607,3457.51,0.86,3659.42,0.91,-3456.87,-0.86,65637.48,1.31
37,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004027,270.0780036,3732.78,0.93,3934.84,0.98,-3186.76,-0.80,69570.25,1.39
37,매수 진입,2026-02-17 23:43,ICE_L_11859,67066.8,0.004027,270.0780036,3732.78,0.93,3934.84,0.98,-3186.76,-0.80,69570.25,1.39
38,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004031,270.0338683,4199.39,1.05,4401.65,1.10,-2727.02,-0.68,73969.59,1.48
38,매수 진입,2026-02-17 23:43,ICE_L_12308,66989.3,0.004031,270.0338683,4199.39,1.05,4401.65,1.10,-2727.02,-0.68,73969.59,1.48
39,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004048,270.0635344,5860.57,1.46,6063.69,1.52,-1095.05,-0.27,80030.15,1.60
39,매수 진입,2026-02-17 23:50,ICE_L_11025,66715.3,0.004048,270.0635344,5860.57,1.46,6063.69,1.52,-1095.05,-0.27,80030.15,1.60
40,매도 청산,2026-02-18 19:43,ICE_L_13593,67769.9,0.003985,270.0239985,-457.6,-0.11,5196.64,1.30,-4192.17,-1.05,79572.55,1.59
40,매도 진입,2026-02-18 01:02,ICE_S_12478,67760.1,0.003985,270.0239985,-457.6,-0.11,5196.64,1.30,-4192.17,-1.05,79572.55,1.59
41,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.003988,270.2663612,-1340.02,-0.34,3078.11,0.77,-13041.88,-3.25,77232.7,1.54
41,매수 진입,2026-02-18 19:43,ICE_L_13593,67769.9,0.003988,270.2663612,-1340.02,-0.34,3078.11,0.77,-13041.88,-3.25,77232.7,1.54
42,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004046,270.2339584,4488.94,1.13,8991.13,2.25,-7347.45,-1.83,81921.61,1.64
42,매수 진입,2026-02-18 23:48,ICE_L_13016,66790.4,0.004046,270.2339584,4488.94,1.13,8991.13,2.25,-7347.45,-1.83,81921.61,1.64
43,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004062,270.220488,6103.61,1.53,6306.15,1.58,-5769.84,-1.44,88225.19,1.76
43,매수 진입,2026-02-19 03:42,ICE_L_13798,66524,0.004062,270.220488,6103.61,1.53,6306.15,1.58,-5769.84,-1.44,88225.19,1.76
44,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004091,269.5011706,10055.17,2.53,10259.15,2.58,-1879.22,-0.47,98480.32,1.97
44,매수 진입,2026-02-19 22:45,ICE_L_15009,65876.6,0.004091,269.5011706,10055.17,2.53,10259.15,2.58,-1879.22,-0.47,98480.32,1.97
45,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004091,269.4774428,10090.18,2.54,10294.17,2.59,-1843.99,-0.46,108770.45,2.18
45,매수 진입,2026-02-19 22:45,ICE_L_15117,65870.8,0.004091,269.4774428,10090.18,2.54,10294.17,2.59,-1843.99,-0.46,108770.45,2.18
46,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004104,269.5109112,11336.56,2.85,11541.2,2.90,-628.13,-0.16,120306.99,2.41
46,매수 진입,2026-02-19 23:34,ICE_L_10903,65670.3,0.004104,269.5109112,11336.56,2.85,11541.2,2.90,-628.13,-0.16,120306.99,2.41
47,매도 청산,2026-02-20 20:59,ICE_L_16519,67284.6,0.004011,271.1833089,1525.51,0.38,1724.55,0.43,-4211.79,-1.05,121432.56,2.43
47,매도 진입,2026-02-20 14:32,ICE_S_15531,67609.9,0.004011,271.1833089,1525.51,0.38,1724.55,0.43,-4211.79,-1.05,121432.56,2.43
48,매도 청산,2026-02-20 20:59,ICE_L_16519,67284.6,0.003995,271.142248,3053.69,0.76,3251.93,0.81,-2660.73,-0.66,124686.21,2.49
48,매도 진입,2026-02-20 14:35,ICE_S_15869,67870.4,0.003995,271.142248,3053.69,0.76,3251.93,0.81,-2660.73,-0.66,124686.21,2.49
49,매도 청산,2026-02-20 20:59,ICE_L_16519,67284.6,0.003992,271.174564,3399.22,0.85,3597.31,0.90,-2310.91,-0.58,128285.41,2.57
49,매도 진입,2026-02-20 14:45,ICE_S_16049,67929.5,0.003992,271.174564,3399.22,0.85,3597.31,0.90,-2310.91,-0.58,128285.41,2.57
50,매수 청산,2026-02-21 18:17,ICE_S_17789,68106.6,0.00403,271.156938,4474.25,1.12,5348.39,1.34,-5291.23,-1.32,132359.72,2.65
50,매수 진입,2026-02-20 20:59,ICE_L_16519,67284.6,0.00403,271.156938,4474.25,1.12,5348.39,1.34,-5291.23,-1.32,132359.72,2.65
51,매수 청산,2026-02-21 18:17,ICE_S_17789,68106.6,0.004063,271.1715271,7759.45,1.94,8647.37,2.16,-2079.37,-0.52,140319.17,2.81
51,매수 진입,2026-02-20 22:38,ICE_L_16552,66741.7,0.004063,271.1715271,7759.45,1.94,8647.37,2.16,-2079.37,-0.52,140319.17,2.81
52,매수 청산,2026-02-21 18:17,ICE_S_17789,68106.6,0.004075,271.125235,9030.06,2.26,9923.14,2.48,-835.28,-0.21,149549.19,2.99
52,매수 진입,2026-02-20 22:39,ICE_L_16563,66533.8,0.004075,271.125235,9030.06,2.26,9923.14,2.48,-835.28,-0.21,149549.19,2.99
53,매도 청산,2026-02-22 05:59,ICE_L_18537,68158.4,0.003989,271.6772274,-704.22,-0.18,1084.21,0.27,-3600.91,-0.90,148245.06,2.96
53,매도 진입,2026-02-21 18:17,ICE_S_17789,68106.6,0.003989,271.6772274,-704.22,-0.18,1084.21,0.27,-3600.91,-0.90,148245.06,2.96
54,매도 청산,2026-02-22 05:59,ICE_L_18537,68158.4,0.003987,271.6793631,-500.32,-0.13,1287.21,0.32,-3395.55,-0.85,147944.7,2.96
54,매도 진입,2026-02-21 18:21,ICE_S_17807,68141.3,0.003987,271.6793631,-500.32,-0.13,1287.21,0.32,-3395.55,-0.85,147944.7,2.96
55,매도 청산,2026-02-22 05:59,ICE_L_18537,68158.4,0.003983,271.708311,-56.21,-0.01,1729.53,0.43,-2948.54,-0.74,148088.47,2.96
55,매도 진입,2026-02-21 18:21,ICE_S_17390,68217,0.003983,271.708311,-56.21,-0.01,1729.53,0.43,-2948.54,-0.74,148088.47,2.96
56,매도 청산,2026-02-22 05:59,ICE_L_18537,68158.4,0.003972,271.6883748,1018.63,0.25,1790.28,0.45,-1865.71,-0.47,149307.06,2.99
56,매도 진입,2026-02-21 23:20,ICE_S_18062,68400.9,0.003972,271.6883748,1018.63,0.25,1790.28,0.45,-1865.71,-0.47,149307.06,2.99
57,매수 청산,2026-02-23 14:30,오픈,65047.7,0.003986,271.6793824,-18642.48,-4.66,1327.91,0.33,-23237.68,-5.81,127464.97,2.55
57,매수 진입,2026-02-22 05:59,ICE_L_18537,68158.4,0.003986,271.6793824,-18642.48,-4.66,1327.91,0.33,-23237.68,-5.81,127464.97,2.55
58,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004017,271.9235844,-16035.22,-4.00,470.67,0.12,-20666.16,-5.16,130072.23,2.60
58,매수 진입,2026-02-22 22:35,ICE_L_19465,67693.2,0.004017,271.9235844,-16035.22,-4.00,470.67,0.12,-20666.16,-5.16,130072.23,2.60
59,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004031,271.9066709,-14670.48,-3.66,1891.98,0.47,-19317.56,-4.82,131436.97,2.63
59,매수 진입,2026-02-22 23:05,ICE_L_19489,67453.9,0.004031,271.9066709,-14670.48,-3.66,1891.98,0.47,-19317.56,-4.82,131436.97,2.63
60,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004031,271.8901438,-14646.14,-3.66,1916.3,0.48,-19293.22,-4.82,131461.31,2.63
60,매수 진입,2026-02-22 23:05,ICE_L_18269,67449.8,0.004031,271.8901438,-14646.14,-3.66,1916.3,0.48,-19293.22,-4.82,131461.31,2.63
61,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004034,271.9141904,-14394.44,-3.59,2180.14,0.54,-19044.98,-4.76,131713,2.63
61,매수 진입,2026-02-22 23:43,ICE_L_17682,67405.6,0.004034,271.9141904,-14394.44,-3.59,2180.14,0.54,-19044.98,-4.76,131713,2.63
62,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004034,271.8577144,-14311.27,-3.57,2263.26,0.57,-18961.81,-4.74,131796.17,2.64
62,매수 진입,2026-02-22 23:43,ICE_L_19454,67391.6,0.004034,271.8577144,-14311.27,-3.57,2263.26,0.57,-18961.81,-4.74,131796.17,2.64
63,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004068,271.7297892,-10869.13,-2.72,0,0.00,-15558.86,-3.89,135238.33,2.70
63,매수 진입,2026-02-23 09:58,ICE_L_19612,66796.9,0.004068,271.7297892,-10869.13,-2.72,0,0.00,-15558.86,-3.89,135238.33,2.70
64,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004071,271.6887696,-10521.61,-2.63,63.11,0.02,-15214.8,-3.80,135585.84,2.71
64,매수 진입,2026-02-23 09:58,ICE_L_17472,66737.6,0.004071,271.6887696,-10521.61,-2.63,63.11,0.02,-15214.8,-3.80,135585.84,2.71
65,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004092,271.6834296,-8504,-2.13,83.74,0.02,-13221.4,-3.30,137603.45,2.75
65,매수 진입,2026-02-23 10:01,ICE_L_20209,66393.8,0.004092,271.6834296,-8504,-2.13,83.74,0.02,-13221.4,-3.30,137603.45,2.75
66,매수 청산,2026-02-23 14:30,오픈,65047.7,0.0041,271.7111,-7779.13,-1.94,825.4,0.21,-12505.75,-3.13,138328.33,2.77
66,매수 진입,2026-02-23 10:01,ICE_L_15759,66271,0.0041,271.7111,-7779.13,-1.94,825.4,0.21,-12505.75,-3.13,138328.33,2.77
67,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004102,271.6972006,-7567.25,-1.89,1041.47,0.26,-12296.18,-3.07,138540.19,2.77
67,매수 진입,2026-02-23 10:02,ICE_L_16889,66235.3,0.004102,271.6972006,-7567.25,-1.89,1041.47,0.26,-12296.18,-3.07,138540.19,2.77
68,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004147,271.7330044,-3313.38,-0.83,26.48,0.01,-8094.18,-2.02,142794.08,2.86
68,매수 진입,2026-02-23 10:09,ICE_L_15202,65525.2,0.004147,271.7330044,-3313.38,-0.83,26.48,0.01,-8094.18,-2.02,142794.08,2.86
69,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004168,271.6919136,-1243.11,-0.31,2113.65,0.53,-6048.13,-1.51,144864.34,2.90
69,매수 진입,2026-02-23 10:10,ICE_L_15233,65185.2,0.004168,271.6919136,-1243.11,-0.31,2113.65,0.53,-6048.13,-1.51,144864.34,2.90
70,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004196,271.7384148,1368.07,0.34,2435.52,0.61,-3469.23,-0.87,147475.52,2.95
70,매수 진입,2026-02-23 10:46,ICE_L_5233,64761.3,0.004196,271.7384148,1368.07,0.34,2435.52,0.61,-3469.23,-0.87,147475.52,2.95
71,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004199,271.6941955,1720.3,0.43,2788.51,0.70,-3120.46,-0.78,147827.75,2.96
71,매수 진입,2026-02-23 10:46,ICE_L_5298,64704.5,0.004199,271.6941955,1720.3,0.43,2788.51,0.70,-3120.46,-0.78,147827.75,2.96
72,매수 청산,2026-02-23 14:30,오픈,65047.7,0.004206,271.6806816,2410.12,0.60,3480.11,0.87,-2438.71,-0.61,148517.56,2.97
72,매수 진입,2026-02-23 10:47,ICE_L_14142,64593.6,0.004206,271.6806816,2410.12,0.60,3480.11,0.87,-2438.71,-0.61,148517.56,2.97
