거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
48,매도 청산,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.004027,269.5259019,2850.24,0.71,3048.6,0.76,-2353.76,-0.59,45713.71,0.91
48,매도 진입,2026-02-19 11:24:00,ICE_S_8778,66929.7,0.004027,269.5259019,2850.24,0.71,3048.6,0.76,-2353.76,-0.59,45713.71,0.91
49,매도 청산,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.004017,269.5109742,3813.76,0.95,4011.63,1.00,-1377.32,-0.34,49727.45,0.99
49,매도 진입,2026-02-19 15:19:00,ICE_S_9394,67092.6,0.004017,269.5109742,3813.76,0.95,4011.63,1.00,-1377.32,-0.34,49727.45,0.99
50,매도 청산,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.004012,269.5129204,4309.48,1.08,4507.1,1.13,-875.14,-0.22,54236.9,1.08
50,매도 진입,2026-02-19 15:21:30,ICE_S_9042,67176.7,0.004012,269.5129204,4309.48,1.08,4507.1,1.13,-875.14,-0.22,54236.9,1.08
51,매도 청산,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.00401,269.502476,4491.12,1.12,4688.64,1.17,-690.92,-0.17,58927.99,1.18
51,매도 진입,2026-02-19 15:31:30,ICE_S_9376,67207.6,0.00401,269.502476,4491.12,1.12,4688.64,1.17,-690.92,-0.17,58927.99,1.18
52,매도 청산,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.00401,269.516912,4512.53,1.13,4710.06,1.18,-669.5,-0.17,63640.5,1.27
52,매도 진입,2026-02-19 15:31:30,ICE_S_9011,67211.2,0.00401,269.516912,4512.53,1.13,4710.06,1.18,-669.5,-0.17,63640.5,1.27
53,매도 청산,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.004005,269.491644,4967.88,1.24,5165.16,1.29,-207.69,-0.05,68808.35,1.38
53,매도 진입,2026-02-19 15:31:30,ICE_S_9131,67288.8,0.004005,269.491644,4967.88,1.24,5165.16,1.29,-207.69,-0.05,68808.35,1.38
54,매수 청산,2026-02-20 02:17:30,ICE_S_10644,66876.9,0.00406,269.527566,2555.63,0.64,2757.1,0.69,-4936.27,-1.23,68979.09,1.38
54,매수 진입,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.00406,269.527566,2555.63,0.64,2757.1,0.69,-4936.27,-1.23,68979.09,1.38
55,매수 청산,2026-02-20 02:17:30,ICE_S_10644,66876.9,0.036239,2405.577435,23091.01,0.65,24889.29,0.70,-43780.71,-1.23,93855.03,1.88
55,매수 진입,2026-02-19 21:04:00,ICE_L_9668,66380.9,0.036239,2405.577435,23091.01,0.65,24889.29,0.70,-43780.71,-1.23,93855.03,1.88
56,매수 청산,2026-02-20 02:17:30,ICE_S_10644,66876.9,0.004088,269.5128464,5354.97,1.34,5557.82,1.39,-2188.61,-0.55,99409.98,1.99
56,매수 진입,2026-02-19 22:43:00,ICE_L_10071,65927.8,0.004088,269.5128464,5354.97,1.34,5557.82,1.39,-2188.61,-0.55,99409.98,1.99
57,매수 청산,2026-02-20 02:17:30,ICE_S_10644,66876.9,0.004095,269.512425,6049.96,1.51,6253.17,1.56,-1506.53,-0.38,105659.92,2.11
57,매수 진입,2026-02-19 22:49:30,ICE_L_8394,65815,0.004095,269.512425,6049.96,1.51,6253.17,1.56,-1506.53,-0.38,105659.92,2.11
58,매수 청산,2026-02-20 02:17:30,ICE_S_10644,66876.9,0.004098,269.5406226,6305.68,1.58,6509.04,1.63,-1256.34,-0.31,112165.6,2.24
58,매수 진입,2026-02-19 22:49:30,ICE_L_7694,65773.7,0.004098,269.5406226,6305.68,1.58,6509.04,1.63,-1256.34,-0.31,112165.6,2.24
59,매도 청산,2026-02-20 20:59:30,ICE_L_12834,67279,0.00403,269.513907,-2790.12,-0.70,4251.92,1.06,-8587.91,-2.16,108575.58,2.17
